a0,a1,beta,epsilondelta
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0189201,0.00632963,0.849058,0.0306311,0.16357
0.0236858,0.0117829,0.415467,0.0219271,0.205567
0.0236858,0.0117829,0.415467,0.0219271,0.205567
0.0236858,0.0117829,0.415467,0.0219271,0.205567
0.0236858,0.0117829,0.415467,0.0219271,0.205567
0.0236858,0.0117829,0.415467,0.0219271,0.205567
0.0183957,0.0117335,0.742378,0.012528,0.184876
0.0183957,0.0117335,0.742378,0.012528,0.184876
0.0183957,0.0117335,0.742378,0.012528,0.184876
0.0183957,0.0117335,0.742378,0.012528,0.184876
0.0183957,0.0117335,0.742378,0.012528,0.184876
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.0145317,0.0180518,0.946186,0.0234961,0.205562
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.019589,0.017786,0.67008,0.0203831,0.213653
0.0162302,0.0164282,0.710378,0.0353518,0.26253
0.0162302,0.0164282,0.710378,0.0353518,0.26253
0.0162302,0.0164282,0.710378,0.0353518,0.26253
0.0162302,0.0164282,0.710378,0.0353518,0.26253
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0110314,0.0129473,1.13567,0.0180497,0.27288
0.0106612,0.014709,1.04414,0.0379804,0.272177
0.0106612,0.014709,1.04414,0.0379804,0.272177
0.00931531,0.0173289,0.898736,0.0143641,0.298619
0.00931531,0.0173289,0.898736,0.0143641,0.298619
