a0,a1,beta
0.0152986,0.0317725,0.408722,0.0368374
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0192393,0.023318,0.684743,0.0366475
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0256867,0.00846843,0.778466,0.0221814
0.0250752,0.00716275,0.461268,0.0273014
0.0250752,0.00716275,0.461268,0.0273014
0.0250752,0.00716275,0.461268,0.0273014
0.0250752,0.00716275,0.461268,0.0273014
0.0239392,0.0208405,0.399543,0.0442378
