a0,a1,beta,epsilon1,epsilon2,epsilon3
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0209039,0.0269838,0.594443,0.0140743,0.0551015,0.0277625
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
0.0166336,0.0312322,0.587837,0.0248424,0.00914941,0.034666
