a0,a1,beta
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.412171,0.000971957,6.97385
0.412171,0.000971957,6.97385
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.577192,0.00159456,7.14541
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
0.466306,0.00158278,6.09733
