a0,a1,beta,
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.09454
2.09454,1.15902,1.46496,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.19796
2.19796,0.789467,1.50817,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,2.04944
2.04944,0.308168,1.40635,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.66702
1.66702,0.107831,1.42337,1.25822
1.25822,0.931183,1.25669,1.25822
1.25822,0.931183,1.25669,1.25822
1.25822,0.931183,1.25669,0.759998
0.759998,1.14885,1.34043,1.05066
1.05066,1.35799,1.29181,1.05066
1.05066,1.35799,1.29181,1.05066
