a0,a1,beta,epsilon,delta
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.000723381,0.0445798,0.28493,0.0179173,0.660747
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00161785,0.0456211,0.375523,0.0167218,0.586552
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.00602462,0.0542176,0.194293,0.00543219,0.827498
0.0123031,0.0476302,0.611899,0.00793461,0.572291
0.0123031,0.0476302,0.611899,0.00793461,0.572291
0.0123031,0.0476302,0.611899,0.00793461,0.572291
0.0123031,0.0476302,0.611899,0.00793461,0.572291
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.000217226,0.045529,0.53822,0.019108,0.54993
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
0.00887895,0.0434566,0.359521,0.012257,0.56233
