a0,a1,beta,tilde_beta,delta
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0587958,0.00413598,1.22674,2.48551,0.695526
0.0587958,0.00413598,1.22674,2.48551,0.695526
0.0587958,0.00413598,1.22674,2.48551,0.695526
0.0587958,0.00413598,1.22674,2.48551,0.695526
0.0587958,0.00413598,1.22674,2.48551,0.695526
0.0634731,0.0127497,1.33591,2.24159,0.541609
0.0634731,0.0127497,1.33591,2.24159,0.541609
0.0634731,0.0127497,1.33591,2.24159,0.541609
0.0634731,0.0127497,1.33591,2.24159,0.541609
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
0.0508148,0.0701513,1.42977,2.23025,0.591459
